"id","text","source","user_screen_name","user_id","latitude","longitude","created_at","disaster","class"
"204044199048380416","tornare in camera e trovare l'armadio aperto, #creepy #terremoto","Twitter for iPhone","Miaotze","53883",NULL,NULL,"2012-05-20T03:01:42.000Z","2","no damage"
"204044968166297601","altra scossa forte. #terremoto","Twitter for iPhone","Miaotze","53883",NULL,NULL,"2012-05-20T03:04:46.000Z","2","no damage"
"204049671436509184","e dire che non ci tenevo a fare la notte bianca, #terremoto","Twitter for iPhone","Miaotze","53883",NULL,NULL,"2012-05-20T03:23:27.000Z","2","no damage"
"1459048038","non ha sentito il terremoto.","TwitterFox","Miaotze","53883",NULL,NULL,"2009-04-05T21:36:30.000Z","1","not relevant"
"204045119979130880","#terremoto si trema ancora cazzo.","Seesmic","merlinox","484513",NULL,NULL,"2012-05-20T03:05:22.000Z","2","no damage"
"204048816977088513","#terremoto grazie maya per il regalo di compleanno...","Twitter for Android","SkyWorker","589843",NULL,NULL,"2012-05-20T03:20:03.000Z","2","no damage"
"204059656950255618","RaiNews24 annuncia morto nel ferrarese #terremoto","Boid for Android","poluz","634773",NULL,NULL,"2012-05-20T04:03:08.000Z","2","damage"
"204046476064718848","Svegliata ben due volte nella stessa notte dal terremoto...","Twitter for iPhone","bimbagio","764991",NULL,NULL,"2012-05-20T03:10:45.000Z","2","no damage"
"204046230450483200","questa era propio piccola perche non ho sentito niente .... #terremoto #milano","Twitter for iPad","natalinobusa","798116",NULL,NULL,"2012-05-20T03:09:46.000Z","2","no damage"
"204045400905228288","#terremoto bussa ancora a Lucca","web","kimage_studio","934451",NULL,NULL,"2012-05-20T03:06:29.000Z","2","not relevant"
"204044860972478464","Si balla ancora #terremoto","Twitter for iPhone","killsapo","935031",NULL,NULL,"2012-05-20T03:04:20.000Z","2","no damage"
"204051597142142976","“danni a Ferrara” e come al solito fraintendo. Ah, l'ottimismo… #terremoto #ciccione","Twitter for iPhone","killsapo","935031",NULL,NULL,"2012-05-20T03:31:06.000Z","2","damage"
"204047786235265024","I TT sono #terremoto e #chelsea, ma guai associarli","Twitter for iPhone","webeconoscenza","1180241","45.50641152","12.25641698","2012-05-20T03:15:57.000Z","2","not relevant"
"402690702632820736","Ciclone #cleopatra travolge la #Sardegna morti e dispersi #allertameteoSAR - http://t.co/RmUg25psEf via @NewsLeonardo","Twitter for Android","silvioderossi","1299371",NULL,NULL,"Tue Nov 19 06:51:59 +0000 2013","0","damage"
"204045544656605185","Ah ecco non era suggestione, altra scossetta ora ora #terremoto , ma che cavolo","Twitter for iPad","cristiancontini","1461101",NULL,NULL,"2012-05-20T03:07:03.000Z","2","no damage"
"204046635519590402","E cmq, grazie #terremoto :spenta luce alle 2.40, svegliato alle 4.03 ...","Twitter for iPad","cristiancontini","1461101",NULL,NULL,"2012-05-20T03:11:23.000Z","2","no damage"
"204045100400123906","#terremoto a milano, nuova scossetta","Twitter for iPhone","garethjax","1853941",NULL,NULL,"2012-05-20T03:05:17.000Z","2","no damage"
"204031165361950720","Mi ha svegliato il #terremoto, sembrava crollasse tutto. #bologna","Twitter for iPhone","tranq72","2181511",NULL,NULL,"2012-05-20T02:09:55.000Z","2","no damage"
"1458717663","Scossa di terremoto avvertito a Ravenna, a Bologna io non l'ho sentito","web","tranq72","2181511",NULL,NULL,"2009-04-05T20:29:48.000Z","1","no damage"
"204044864864788482","eh no, non è ancora finita! Altra scossa ora in diretta #terremoto #Lugano","web","marcobardus","3776501",NULL,NULL,"2012-05-20T03:04:21.000Z","2","no damage"
